"Questão", "Opção A", "Opção B", "Opção C", "Opção D"
"Quanto tempo vocês gastam hoje para finalizar a primeira versão do orçamento anual?", "a) Mais de 2 meses", "b) Entre 1 e 2 meses", "c) Menos de 1 mês", "d) Não faz orçamento"
"Hoje, quantas versões diferentes do orçamento (planilhas/documentos em paralelo) circulam simultaneamente na empresa?", "a) Mais de 5", "b) Entre 3 e 5", "c) Até 2", "d) Não faz orçamento"
"Se a diretoria pedir uma revisão de cenário urgente, quanto tempo vocês demoram para entregar?", "a) Mais de 2 semanas", "b) Até 1 semana", "c) Em até 2 dias", "d) Não faz orçamento"
"Quando a diretoria precisa decidir rapidamente, como vocês classificam a qualidade das informações financeiras que conseguem disponibilizar?", "a) Dados frequentemente atrasados ou inconsistentes", "b) Dados parcialmente atualizados, exigindo complementos", "c) Dados atualizados e consistentes para decisão imediata", "d) Não faz orçamento"
"Hoje as áreas trabalham…", "a) Cada uma em suas planilhas isoladas", "b) Parcialmente integradas", "c) Totalmente integradas num único ambiente", "d) Não faz orçamento"
"Quando a diretoria pede cenários alternativos (otimista/pessimista), vocês…", "a) Não conseguem entregar", "b) Entregam após dias", "c) Entregam em horas", "d) Não faz orçamento"
"Quando as premissas do seu segmento (ex. inflação câmbio ou juros) mudam, quanto tempo leva para simular impacto no orçamento?", "a) Mais de 2 semanas ou não conseguimos simular", "b) Mais de 1 semana", "c) Em poucas horas", "d) Não fazemos simulações"
"O impacto de um investimento (CAPEX) no OPEX, caixa e balanço é…", "a) Inexistente", "b) Estimado manualmente", "c) Automático e visível", "d) Não orçamos investimentos"
"O controle de versões orçamentárias está em…", "a) Planilhas dispersas", "b) Algumas planilhas consolidadas", "c) Sistema com histórico completo", "d) Não fazemos simulações"
"O tempo da equipe de controladoria FP&A é gasto em…", "a) Mais de 60% com tarefas operacionais", "b) 40% a 60% operacionais", "c) Menos de 40% operacionais", "d) Não temos controle"
"Quando a diretoria pede explicação de variações, a resposta vem…", "a) Dias depois", "b) Em até 2 dias", "c) Imediatamente, com detalhamento (drilldown) até lançamentos", "d) Não temos controle das variações"
"Comparações Orçado x Realizado acontecem…", "a) Quase nunca", "b) Eventualmente", "c) Sempre, com drilldown até lançamentos", "d) Não fazemos acompanhamento orçado x realizado"
"O orçamento de receitas/vendas é feito apenas no nível de contas de resultado ou há necessidade de uma abertura gerencial (com QTD, Preço médio, produtos, canais de vendas e etc.)", "a) Aberto apenas por conta", "b) Aberto por canal vendas", "c) No nivel de produto e canal de Vendas", "d) Não orça receita"
"Se as premissas de vendas (câmbio, quantidade, mix de produto) mudar amanhã, vocês conseguem mostrar impacto no EBITDA?", "a) Com muito esforço (mais de uma semana)", "b) Sim (2 a 7 dias)", "c) Sim (no mesmo dia)", "d) Não conseguimos realizar projeções"
"Comparações Orçado x Forecast x Realizado são…", "a) Inexistentes", "b) Eventuais (trimestrais/semestrais)", "c) Sistemáticas (mensal)", "d) Não fazemos acompanhamento orçado x realizado"
